,ags5,kreis,Population - job density,rurality,# of middle centers,number of regional centers,Regional populational pothential
264,9375,Regensburg,171.0,35.9,2,0,20802.1
265,9376,Schwandorf,137.4,67.6,10,0,13662.0
266,9377,Tirschenreuth,90.1,100.0,5,1,12067.5
267,9461,Bamberg,2403.1,0.0,0,1,24015.0
268,9462,Bayreuth,1817.1,0.0,0,1,16485.9
269,9463,Coburg,1550.4,0.0,0,1,17525.0
270,9464,Hof,1212.6,0.0,0,1,15678.3
271,9471,Bamberg,157.9,38.3,2,0,22794.2
272,9472,Bayreuth,99.9,77.4,4,0,17627.5
273,9473,Coburg,195.5,38.0,2,0,17231.2
274,9474,Forchheim,227.8,33.5,1,1,31120.8
275,9475,Hof,149.1,74.9,4,0,15879.1
276,9476,Kronach,142.8,56.1,2,0,15806.9
277,9477,Kulmbach,150.2,54.9,1,1,16931.5
278,9478,Lichtenfels,182.8,31.0,5,0,18424.6
279,9479,Wunsiedel i.Fichtelgebirge,169.0,39.1,0,3,14499.1
280,9561,Ansbach,688.2,0.0,0,1,20083.0
281,9562,Erlangen,2603.3,0.0,0,1,49628.8
282,9563,Fürth,2749.7,0.0,0,1,59309.5
283,9564,Nürnberg,4402.7,0.0,0,1,42047.7
284,9565,Schwabach,1392.8,0.0,0,1,50276.4
285,9571,Ansbach,123.5,72.7,6,0,20118.7
286,9572,Erlangen-Höchstadt,330.0,6.7,2,0,41243.1
287,9573,Fürth,457.1,3.6,3,0,47752.7
288,9574,Nürnberger Land,279.9,16.4,5,0,35249.3
289,9575,Neustadt a.d.Aisch-Bad Windsheim,104.3,71.6,3,0,20711.3
290,9576,Roth,183.2,41.5,3,0,30408.5
291,9577,Weißenburg-Gunzenhausen,130.7,60.5,3,0,18370.4
292,9661,Aschaffenburg,1842.2,0.0,0,1,48325.5
293,9662,Schweinfurt,2978.6,0.0,0,1,19983.1
294,9663,Würzburg,2452.7,0.0,0,1,22690.1
295,9671,Aschaffenburg,322.7,3.6,4,0,42797.6
296,9672,Bad Kissingen,120.9,67.4,2,1,15594.2
297,9673,Rhön-Grabfeld,108.7,80.7,2,1,13152.1
298,9674,Haßberge,116.8,73.7,2,0,16807.7
299,9675,Kitzingen,178.7,48.9,2,0,19691.7
300,9676,Miltenberg,239.4,20.1,6,0,32797.5
301,9677,Main-Spessart,130.7,56.1,4,0,21150.3
302,9678,Schweinfurt,167.8,54.4,1,0,19281.7
303,9679,Würzburg,206.5,28.9,1,0,22381.2
304,9761,Augsburg,2968.9,0.0,0,1,34644.5
305,9762,Kaufbeuren,1539.4,0.0,0,1,20299.2
306,9763,Kempten (Allgäu),1666.8,0.0,0,1,18620.5
307,9764,Memmingen,1051.0,0.0,0,1,20227.7
308,9771,Aichach-Friedberg,215.2,40.2,2,0,36564.1
309,9772,Augsburg,301.2,28.0,7,0,35175.2
310,9773,Dillingen a.d.Donau,161.8,68.9,1,2,23503.4
311,9774,Günzburg,230.3,29.4,3,2,26680.0
312,9775,Neu-Ulm,458.1,9.3,4,1,28322.8
313,9776,Lindau (Bodensee),348.1,17.6,1,1,25612.7
314,9777,Ostallgäu,133.1,68.7,3,0,18274.9
315,9778,Unterallgäu,155.8,60.6,2,0,22405.9
316,9779,Donau-Ries,152.0,66.3,1,2,18189.7
317,9780,Oberallgäu,135.0,53.4,1,2,15840.1
318,10041,Regionalverband Saarbrücken,1170.5,0.0,1,1,41591.4
319,10042,Landkreis Merzig-Wadern,241.1,23.4,2,0,28382.4
320,10043,Landkreis Neunkirchen,691.7,0.0,1,0,40474.1
321,10044,Landkreis Saarlouis,581.0,0.0,3,0,37213.1
322,10045,Saarpfalz-Kreis,499.4,4.4,3,0,36164.1
323,10046,Landkreis St. Wendel,240.8,21.1,1,0,29081.6
324,11000,Berlin,5655.8,0.0,0,1,28113.1
325,12051,Brandenburg an der Havel,440.3,0.0,0,1,15371.0
326,12052,Cottbus,886.1,0.0,0,1,9519.3
327,12053,Frankfurt (Oder),580.4,0.0,0,1,10315.7
328,12054,Potsdam,1380.9,0.0,0,1,72949.6
329,12060,Barnim,155.4,38.0,2,0,41590.6
330,12061,Dahme-Spreewald,100.3,43.1,4,0,26151.7
331,12062,Elbe-Elster,71.9,76.4,4,0,10804.0
332,12063,Havelland,118.2,39.6,3,0,29337.7
333,12064,Märkisch-Oderland,112.5,44.6,4,0,27863.4
334,12065,Oberhavel,146.8,28.4,4,0,35437.3
335,12066,Oberspreewald-Lausitz,124.3,59.7,5,0,12463.6
336,12067,Oder-Spree,103.5,49.7,4,0,20627.8
337,12068,Ostprignitz-Ruppin,53.3,100.0,3,0,8774.4
338,12069,Potsdam-Mittelmark,105.8,41.8,4,0,25803.8
339,12070,Prignitz,48.7,77.7,3,0,4865.1
340,12071,Spree-Neiße,91.8,69.2,3,0,11288.9
341,12072,Teltow-Fläming,108.4,44.0,4,0,31193.0
342,12073,Uckermark,51.7,100.0,3,0,8351.1
343,13003,"Rostock, Hansestadt",1637.1,0.0,0,1,8807.5
344,13004,"Schwerin, Landeshauptstadt",1119.9,0.0,0,1,10242.8
345,13071,Mecklenburgische Seenplatte,64.4,75.3,3,1,6077.4
346,13072,Landkreis Rostock,82.2,69.2,3,0,8585.8
347,13073,Vorpommern-Rügen,92.9,62.7,3,1,7197.4
348,13074,Nordwestmecklenburg,95.8,66.0,2,0,13934.4
349,13075,Vorpommern-Greifswald,81.0,57.9,4,1,7939.1
350,13076,Ludwigslust-Parchim,58.2,83.6,3,0,8951.3
351,14511,Chemnitz,1640.0,0.0,0,1,27408.4
352,14521,Erzgebirgskreis,249.2,35.6,9,0,25924.7
353,14522,Mittelsachsen,197.8,43.2,3,0,26669.2
354,14523,Vogtlandkreis,219.9,31.1,6,1,19849.4
355,14524,Zwickau,468.2,11.0,7,1,32686.0
356,14612,Dresden,2465.4,0.0,0,1,25519.5
357,14625,Bautzen,173.1,34.6,2,2,20229.9
358,14626,Görlitz,161.5,29.5,4,1,14897.7
359,14627,Meißen,228.1,39.6,5,0,26741.0
360,14628,Sächsische Schweiz-Osterzgebirge,195.5,45.5,3,0,30495.0
361,14713,Leipzig,2835.9,0.0,0,1,27205.0
362,14729,Leipzig,202.7,47.0,4,0,33029.1
363,14730,Nordsachsen,133.0,40.1,5,0,22900.8
364,15001,Dessau-Roßlau,473.3,0.0,0,1,14030.5
365,15002,Halle (Saale),2476.8,0.0,0,1,27923.8
366,15003,Magdeburg,1728.7,0.0,0,1,16172.5
367,15081,Altmarkkreis Salzwedel,48.7,100.0,1,0,7226.6
368,15082,Anhalt-Bitterfeld,149.5,50.6,3,0,18820.2
369,15083,Börde,98.4,87.9,2,0,16753.9
370,15084,Burgenlandkreis,170.3,43.9,3,0,24901.9
371,15085,Harz,137.6,50.3,3,0,15635.6
372,15086,Jerichower Land,74.8,90.7,1,0,12785.4
373,15087,Mansfeld-Südharz,124.0,61.8,2,0,15610.8
374,15088,Saalekreis,177.3,63.0,1,0,29529.3
375,15089,Salzlandkreis,179.1,34.5,4,0,18945.5
376,15090,Stendal,61.5,100.0,1,0,6917.5
377,15091,Wittenberg,87.6,63.5,1,0,12333.7
378,16051,Erfurt,1194.5,0.0,0,1,16790.1
379,16052,Gera,862.5,0.0,0,1,22542.0
380,16053,Jena,1449.0,0.0,0,1,20156.7
381,16054,Suhl,495.5,0.0,1,0,15132.1
382,16055,Weimar,1046.9,0.0,1,0,22155.9
383,16056,Eisenach,638.5,0.0,1,0,15097.5
384,16061,Eichsfeld,145.0,64.8,2,0,16573.8
385,16062,Nordhausen,161.3,50.4,1,0,13670.4
386,16063,Wartburgkreis,126.2,60.7,1,0,15381.0
387,16064,Unstrut-Hainich-Kreis,142.0,68.0,2,0,15896.8
388,16065,Kyffhäuserkreis,92.8,92.9,2,0,14016.0
389,16066,Schmalkalden-Meiningen,137.3,51.2,3,0,14916.2
390,16067,Gotha,197.1,43.9,1,0,19985.0
391,16068,Sömmerda,116.3,73.1,1,0,19142.2
392,16069,Hildburghausen,89.5,81.6,1,0,14519.1
393,16070,Ilm-Kreis,174.7,46.7,2,0,19366.9
394,16071,Weimarer Land,134.1,73.0,1,0,23045.9
395,16072,Sonneberg,179.0,51.9,3,0,16298.2
396,16073,Saalfeld-Rudolstadt,138.9,47.4,3,0,16385.8
397,16074,Saale-Holzland-Kreis,134.7,55.3,4,0,22646.0
398,16075,Saale-Orla-Kreis,97.1,85.3,3,0,15710.0
399,16076,Greiz,153.0,60.4,2,0,23393.0
400,16077,Altenburger Land,207.5,36.8,3,0,30007.3
