,ags2,ags5,kreis,households_of_1_person,households_of_2_person,households_of_3_person,households_of_4_person,households_of_5_person_or_more,household_with_kids,household_with_kids_under_3,household_with_kids_over_3_under_6,household_with_kids_over_6_under_10,household_with_kids_over_10_under_15,household_with_kids_over_15_under_18,household_with_double_income_no_kids
110,05,05958,Hochsauerlandkreis,43466,55303,18088,11009,1534,29228,4415,4376,5913,8290,5096,16913
111,05,05962,Märkischer Kreis,69431,72941,27197,23912,3817,54066,8427,8101,11015,15422,9163,23521
112,05,05966,Olpe,19333,27124,9613,6975,859,16520,2534,2632,3413,4580,2720,8925
113,05,05970,Siegen-Wittgenstein,42559,60219,18615,12796,1529,31638,5272,5073,6618,8195,5111,18475
114,05,05974,Soest,42373,59528,23905,13868,2503,38225,5770,5818,7867,10513,6365,18771
115,05,05978,Unna,66577,80472,23171,21121,2570,47178,7535,7351,9555,13206,7905,24859
116,06,06411,Kreisfreie Stadt Darmstadt,41384,22602,10074,7931,1817,19817,3692,3262,4259,5061,2857,7966
117,06,06412,Kreisfreie Stadt Frankfurt am Main,201331,96523,45444,39372,11522,99095,19695,17357,21266,24830,13425,35308
118,06,06413,Kreisfreie Stadt Offenbach am Main,33483,16730,8782,6103,2080,17230,3228,2885,3647,4521,2542,6226
119,06,06414,Landeshauptstadt Wiesbaden,71886,43095,16974,12974,3427,35453,6522,5881,7428,9544,5416,15131
120,06,06431,Bergstraße,42975,55536,17937,12671,2144,31563,5179,5164,6703,8065,5162,17490
121,06,06432,Darmstadt-Dieburg,41390,60280,19398,15569,2936,37753,6243,6231,8129,9826,6087,19566
122,06,06433,Groß-Gerau,44335,49014,18315,14908,3401,36063,6287,5994,7592,9429,5622,16547
123,06,06434,Hochtaunus,36890,44174,17713,11281,2522,30845,4429,4842,6759,8835,4974,14060
124,06,06435,Main-Kinzig,61727,79989,29648,21315,4496,54103,8759,8605,11264,14693,8518,25639
125,06,06436,Main-Taunus,40344,45480,15634,11716,2404,29694,4785,4815,6485,8259,4788,14815
126,06,06437,Odenwaldkreis,12189,21158,7008,4314,778,11121,1687,1703,2337,3042,1772,6106
127,06,06438,Offenbach,62170,61240,23373,19142,4325,45864,7800,7299,9630,12629,7059,20529
128,06,06439,Rheingau-Taunus,31635,40123,12702,7553,1299,21281,3227,3300,4491,5836,3559,12231
129,06,06440,Wetterau,43435,58624,23355,14859,3152,40303,6169,6323,8593,11018,6362,18809
130,06,06531,Gießen,48335,52148,17729,12480,2279,31635,5487,5048,6562,8022,4885,16079
131,06,06532,Lahn-Dill,34542,61000,16299,10167,1508,27387,4344,4446,5825,7064,4536,17517
132,06,06533,Limburg-Weilburg,24841,44164,9626,5999,1114,16187,2521,2588,3369,4266,2885,12104
133,06,06534,Marburg-Biedenkopf,39664,48991,17640,11379,1993,29712,4454,4579,6202,8192,4561,14776
134,06,06535,Vogelsberg,12164,25525,7680,3925,740,10915,1477,1607,2347,3237,1554,6609
135,06,06611,Kreisfreie Stadt Kassel,54523,32842,11026,9575,1778,23801,4416,3893,4882,6196,3624,10985
136,06,06631,Fulda,38191,40069,16604,10888,2109,27914,4321,4396,5801,7732,4362,12200
137,06,06632,Hersfeld-Rotenburg,16236,28431,8492,4682,683,12993,1990,2042,2676,3685,1958,7766
138,06,06633,Kassel,31950,57270,15296,9338,1346,25083,3977,4081,5331,6477,4111,16624
139,06,06634,Schwalm-Eder,22713,43216,12547,7109,952,18934,2676,3009,4073,5133,2994,12176
140,06,06635,Waldeck-Frankenberg,23983,35330,11078,5865,1063,16696,2419,2563,3472,4687,2723,9665
141,06,06636,Werra-Meißner,15203,26589,6325,2957,347,8946,1326,1428,1911,2333,1475,6829
142,07,07111,Stadt Koblenz,27600,17227,7107,6189,1168,14844,2641,2400,3003,3901,2169,6071
143,07,07131,Ahrweiler,17417,28705,9025,5518,1134,14676,2324,2322,3018,3803,2387,8421
144,07,07132,Altenkirchen (Ww),16227,29408,9606,4695,1183,13769,2016,2138,2868,3726,2094,8029
145,07,07133,Bad Kreuznach,22441,35146,11051,6044,1574,17845,2890,2788,3711,4653,2866,10072
146,07,07134,Birkenfeld,12380,21457,4998,2041,427,6887,1069,1029,1405,1794,1122,5312
147,07,07135,Cochem-Zell,5667,16284,4130,1978,595,5982,852,888,1149,1702,1009,4113
148,07,07137,Mayen-Koblenz,28014,43795,16215,9813,2120,26980,4362,4194,5483,7257,4365,13538
149,07,07138,Neuwied,24246,38467,13116,8526,1451,21740,3402,3446,4519,5845,3563,11242
150,07,07140,Rhein-Hunsrück-Kreis,12808,23160,8127,3806,822,11609,1718,1804,2366,3051,1866,6445
151,07,07141,Rhein-Lahn-Kreis,19421,25813,8684,4890,1066,13689,2093,2201,2808,3595,2085,7297
152,07,07143,Westerwaldkreis,20498,43309,16841,8225,2184,25207,3754,3785,5162,6769,3893,12915
153,07,07211,Stadt Trier,29858,17620,6484,5277,823,12652,2176,2032,2511,3225,1905,6019
154,07,07231,Bernkastel-Wittlich,12028,28297,7740,3908,909,11482,1721,1822,2316,3153,1727,7655
155,07,07232,Eifelkreis Bitburg-Prüm,11161,23614,7455,3249,904,9369,1476,1473,1971,2436,1453,5842
156,07,07233,Vulkaneifel,6196,16887,3861,1635,492,5099,689,771,1053,1454,836,3835
157,07,07235,Trier-Saarburg,17940,34513,11147,5566,1232,16638,2525,2754,3586,4249,2558,10028
158,07,07311,Stadt Frankenthal (Pfalz),9230,7790,3629,2480,526,6294,1104,1000,1321,1672,965,2608
159,07,07312,Stadt Kaiserslautern,29137,17548,5884,3527,573,9992,1884,1652,2054,2366,1600,5585
160,07,07313,Stadt Landau in der Pfalz,9475,8667,2821,2154,520,5437,937,800,1099,1373,831,2744
161,07,07314,Stadt Ludwigshafen a. Rh.,32980,26151,11713,9559,2317,23757,4273,3994,4970,6252,3509,9381
162,07,07315,Stadt Mainz,52025,31627,13975,10691,2911,26075,4805,4300,5381,6674,3693,11009
163,07,07316,Stadt Neustadt a.d. W.,9247,11212,3116,2551,376,6129,1072,978,1245,1653,995,3537
164,07,07317,Stadt Pirmasens,10615,7537,2777,1442,121,4315,697,727,909,1030,727,2261
165,07,07318,Stadt Speyer,10019,7784,3462,2770,660,6695,1089,1026,1433,1770,1141,2494
166,07,07319,Stadt Worms,14553,15067,5759,4298,828,10642,1817,1684,2173,2969,1635,4911
167,07,07320,Stadt Zweibrücken,6999,6797,2611,1246,157,3934,607,638,798,957,668,2120
168,07,07331,Alzey-Worms,11653,27187,11698,5176,1470,17237,2717,2761,3621,4327,2730,8153
169,07,07332,Bad Dürkheim,15957,34163,8298,4652,942,13509,2141,2210,2891,3415,2269,9628
170,07,07333,Donnersbergkreis,7227,17310,5927,2872,784,9039,1346,1363,1826,2565,1469,4911
171,07,07334,Germersheim,13771,22751,11752,6642,1560,18876,2983,2996,3792,4984,2894,7598
172,07,07335,Kaiserslautern,17015,30811,5748,1883,520,7627,1229,1215,1552,1902,1277,8192
173,07,07336,Kusel,7675,20340,4895,1358,399,5824,834,890,1164,1483,919,5061
174,07,07337,Südliche Weinstraße,10762,25406,8654,4276,1126,13176,2036,2135,2755,3439,2039,7513
175,07,07338,Rhein-Pfalz-Kreis,16905,32388,12185,7048,1529,20288,3424,3421,4171,5118,3167,10375
176,07,07339,Mainz-Bingen,26592,42989,15346,10806,1793,27160,4224,4419,5772,7224,4399,13754
177,07,07340,Südwestpfalz,11174,25089,7345,2186,586,9332,1326,1493,1855,2287,1494,7030
178,08,08111,Stuttgart,137373,89374,34923,41150,9114,88655,16201,14392,18391,22858,12801,32206
179,08,08115,Böblingen,57319,73098,27200,20602,4660,51360,8888,8555,10821,13562,7985,23936
180,08,08116,Esslingen,86713,103204,32377,29276,5118,67835,11136,10750,14221,18926,10794,33758
181,08,08117,Göppingen,37891,51519,16814,13262,2483,32063,5244,5055,6693,8733,5075,16119
182,08,08118,Ludwigsburg,84440,102103,35199,29362,6266,70527,12064,11490,14888,18941,10993,33905
183,08,08119,Rems-Murr-Kreis,67750,79827,26598,24371,4231,55053,8829,8676,11359,15465,8817,26079
184,08,08121,Heilbronn,25286,22686,6989,6887,1346,15844,2808,2574,3350,4327,2431,7732
185,08,08125,Heilbronn,37700,67099,28283,16962,3564,46573,7440,7228,9473,12875,7240,21205
186,08,08126,Hohenlohekreis,13703,21057,10158,4953,1162,15012,2313,2171,3100,4252,2221,6380
187,08,08127,Schwäbisch Hall,25484,35714,17639,8594,2227,26049,4102,4039,5279,7117,3914,10542
188,08,08128,Main-Tauber-Kreis,15881,27260,11061,5609,1219,16558,2493,2456,3222,4807,2540,7873
189,08,08135,Heidenheim,15158,27675,10862,5967,1062,17146,2605,2714,3658,4570,2746,8236
190,08,08136,Ostalbkreis,41475,60127,26617,14265,2895,41793,6308,6351,8497,11386,6727,18283
191,08,08211,Baden-Baden,13176,10183,3045,2638,366,6231,985,917,1252,1746,954,3214
192,08,08212,Karlsruhe,67477,45196,19480,17655,4592,42286,7393,6729,8544,10960,6269,16120
193,08,08215,Karlsruhe,56844,86337,33014,22537,4868,59081,9260,9425,12403,15951,9155,28623
194,08,08216,Rastatt,32355,41934,16711,12877,2519,31347,4779,4897,6434,8547,4916,13752
195,08,08221,Heidelberg,35776,22506,9201,9300,2271,20317,3869,3297,4150,5075,2655,7875
196,08,08222,Mannheim,82301,47635,17133,14981,3582,38398,7226,6350,7746,10054,5793,17216
197,08,08225,Neckar-Odenwald-Kreis,15640,30452,12013,5983,1322,17891,2641,2614,3551,4965,2800,8612
198,08,08226,Rhein-Neckar-Kreis,87334,109791,35356,27468,4738,67120,11007,11013,14364,17876,10509,35500
199,08,08231,Pforzheim,25614,19897,7617,7103,1632,16568,2936,2692,3369,4538,2517,6926
200,08,08235,Calw,24409,31243,11959,6961,1514,19378,2920,3041,3984,5351,3099,9400
201,08,08236,Enzkreis,21525,41697,15361,9501,1860,25593,4005,3921,5299,6847,4204,12903
202,08,08237,Freudenstadt,15236,20373,10113,6039,1373,16110,2350,2321,3264,4762,2365,6054
203,08,08311,Freiburg im Breisgau,54806,32358,13370,13226,3213,29106,5376,4744,6000,7340,4180,11625
204,08,08315,Breisgau-Hochschwarzwald,41074,43359,19011,14789,3546,35487,5383,5461,7383,10192,5380,13836
205,08,08316,Emmendingen,24500,26032,12856,9427,2452,23534,3579,3525,4789,6982,3530,8474
206,08,08317,Ortenaukreis,62296,70451,33143,24613,5498,59292,8924,9004,12131,17370,8745,22355
207,08,08325,Rottweil,15992,28054,11799,6267,1340,18092,2759,2821,3725,5184,2759,8312
208,08,08326,Schwarzwald-Baar-Kreis,35478,37949,15441,10668,2273,27014,4255,4159,5587,7726,4106,11903
209,08,08327,Tuttlingen,15713,26354,12442,6454,1693,19603,3135,3037,4052,5383,3005,8169
210,08,08335,Konstanz,59381,51396,17288,14033,2729,34164,5553,5362,7110,9499,5410,16590
211,08,08336,Lörrach,36929,41699,16172,11720,2514,29871,4701,4695,6385,8327,4542,13371
212,08,08337,Waldshut,26175,30970,12791,8625,1890,21778,3146,3320,4648,6347,3370,9144
213,08,08415,Reutlingen,36761,57112,21407,14189,2872,37337,6109,5901,7664,10234,5817,17904
214,08,08416,Tübingen,37633,43520,16262,10464,2021,28197,4832,4495,5790,7396,4402,13943
215,08,08417,Zollernalbkreis,17588,47913,13625,6939,1360,21005,3190,3192,4375,5568,3403,13172
216,08,08421,Ulm,25629,22229,7431,6519,1448,15935,2798,2578,3389,4247,2373,7597
217,08,08425,Alb-Donau-Kreis,20391,39543,17368,8575,1993,26418,4127,4078,5388,7134,4127,12121
218,08,08426,Biberach,22108,39313,19163,7719,2091,26978,4252,4287,5648,7108,4171,11521
219,08,08435,Bodenseekreis,39492,39087,14367,10675,2416,26117,4128,4044,5432,7290,4121,12261
220,08,08436,Ravensburg,39275,49313,24223,13715,3587,37521,5639,5537,7828,10934,5627,14549
221,08,08437,Sigmaringen,13598,28779,10376,5288,1393,15864,2325,2384,3284,4507,2546,7890
222,09,09161,Ingolstadt,24281,24765,10075,6282,1500,18073,3407,3029,3592,4609,2618,8181
223,09,09162,München,409811,225804,81395,62513,19840,176834,36810,32006,36901,43171,24008,81596
224,09,09163,Rosenheim,14662,11458,3588,2968,622,7648,1377,1196,1561,2070,1199,3876
225,09,09171,Altötting,14381,22923,9596,4321,972,13469,2135,2042,2773,3773,2054,6341
226,09,09172,Berchtesgadener Land,20121,17838,7837,5106,1099,12639,1953,1889,2556,3729,1748,5109
227,09,09173,Bad Tölz-Wolfratshausen,20911,21996,9643,6463,1470,16688,2769,2678,3473,4567,2593,6754
228,09,09174,Dachau,20470,24778,14250,7545,2129,22831,3719,3567,4747,6224,3331,8210
229,09,09175,Ebersberg,18110,24869,13381,6404,1674,20181,3047,3333,4321,5539,3099,8029
230,09,09176,Eichstätt,12500,24307,15138,4791,1312,19629,3205,3167,4008,5013,2765,7470
231,09,09177,Erding,16600,21753,13835,6613,1857,19625,2939,2989,3981,5744,2906,6766
232,09,09178,Freising,26973,30789,15096,8545,2096,24270,3994,3871,5112,6557,3670,9929
233,09,09179,Fürstenfeldbruck,29749,40228,18715,10229,2379,30539,4933,4860,6720,8112,4666,12987
234,09,09180,Garmisch-Partenkirchen,21224,16867,4887,4091,469,9415,1593,1519,1942,2426,1498,5220
235,09,09181,Landsberg am Lech,14520,26427,9519,4816,947,14562,2213,2314,3031,3977,2363,7394
236,09,09182,Miesbach,20394,17684,7321,4230,998,11521,1715,1793,2404,3253,1730,5204
237,09,09183,Mühldorf a.Inn,13798,20880,11185,4613,1470,14721,2202,2227,3088,4201,2142,5821
238,09,09184,München,55256,59440,29915,15265,4186,48367,7416,7789,10631,13477,7304,19302
239,09,09185,Neuburg-Schrobenhausen,11162,19629,9622,3328,807,12881,2005,2086,2708,3352,1919,5674
240,09,09186,Pfaffenhofen a.d.Ilm,14277,26517,11256,5216,1025,16248,2720,2697,3445,4122,2405,8103
241,09,09187,Rosenheim,40299,48931,20114,11993,2793,31818,4718,4880,6846,8912,4961,14129
242,09,09188,Starnberg,20202,27577,10504,5817,1133,17094,2468,2651,3697,4729,2892,7893
243,09,09189,Traunstein,28455,34617,13996,7196,1678,19690,2912,2964,4159,5705,2906,9344
244,09,09190,Weilheim-Schongau,19207,27497,10506,5861,1215,16422,2509,2641,3511,4431,2618,7957
245,09,09261,Landshut,15484,12488,5217,3144,701,9148,1587,1441,1940,2365,1356,4144
246,09,09262,Passau,18055,9913,2209,1660,228,4277,729,693,911,1078,701,2937
247,09,09263,Straubing,10345,8905,2966,1888,582,5469,908,811,1073,1485,818,2853
248,09,09271,Deggendorf,16030,23964,11067,4329,868,13989,1915,2069,2920,4021,2101,6432
249,09,09272,Freyung-Grafenau,10104,18210,6464,2563,411,7010,835,1041,1325,2215,1094,4017
250,09,09273,Kelheim,12081,21360,14034,4770,1206,18066,2658,2603,3653,5045,2572,6330
251,09,09274,Landshut,14224,30976,16697,6095,1575,20708,3031,3242,4451,5738,3015,8758
252,09,09275,Passau,22744,39822,17644,7214,1525,20774,2607,3074,4320,6367,3010,9835
253,09,09276,Regen,10807,16907,6103,3029,498,7539,1004,1133,1494,2378,1128,3911
254,09,09277,Rottal-Inn,12590,25566,11429,4231,1118,12518,1540,1709,2539,4198,1775,5886
255,09,09278,Straubing-Bogen,7383,21040,10692,3418,1061,12091,1668,1792,2452,3479,1783,5202
256,09,09279,Dingolfing-Landau,7832,20172,9908,3409,914,11847,1739,1722,2294,3510,1773,5563
257,09,09361,Amberg,10489,8845,2109,1609,159,4178,723,648,886,1049,721,2769
258,09,09362,Regensburg,49533,24745,7823,5738,1123,15865,3078,2709,3333,3918,2278,8524
259,09,09363,Weiden i.d.OPf.,11891,8952,1962,1535,137,4002,714,638,822,969,738,2730
260,09,09371,Amberg-Sulzbach,13272,22730,8275,3931,741,11264,1601,1669,2322,3119,1793,6177
261,09,09372,Cham,14392,28206,11132,4662,979,12684,1574,1897,2629,4094,1668,6390
262,09,09373,Neumarkt i.d.OPf.,14072,25824,13685,5046,1235,17804,2608,2817,3673,4738,2567,7514
263,09,09374,Neustadt a.d.Waldnaab,13748,23423,6460,2978,497,8437,1219,1255,1761,2309,1328,6034
264,09,09375,Regensburg,20719,39996,17573,7761,1772,24584,3786,4020,5099,6470,3742,11882
265,09,09376,Schwandorf,19498,32800,11456,5820,874,15997,2340,2456,3334,4350,2516,9215
266,09,09377,Tirschenreuth,9173,16253,5652,2880,454,7705,1077,1157,1570,2207,1153,4256
267,09,09461,Bamberg,21614,13024,4254,3593,502,9209,1868,1528,1848,2279,1327,4434
